TSV	id	kind	band	playerL	party	foes	foeL	won	felled	seconds	hp_left	faints	hits	taken	missed	switches
TSV	practice_trainer	local	1	3	3	2	3	1	2	16.2	0.981	0	15	1	3	0
TSV	trainer_mira	local	1	4	3	1	4	1	1	8.8	0.984	0	9	1	2	0
TSV	trainer_tam	local	1	5	3	2	6	1	2	15.7	0.972	0	15	2	2	0
TSV	trainer_oskar	local	1	5	3	2	7	1	2	29.3	0.945	0	30	3	7	0
TSV	old_champion_bram	optional	1	6	3	2	7	1	2	18.3	0.953	0	19	3	2	0
TSV	tournament_quarter_mira	tournament	1	7	3	2	8	1	2	20.8	0.967	0	20	2	4	0
TSV	tournament_semi_tam	tournament	1	7	3	2	9	1	2	24.5	0.952	0	25	3	5	0
TSV	tournament_final_oskar	tournament	1	8	3	3	11	1	3	47.9	0.890	0	50	7	10	0
TSV	south_bridge_grunt	tether	1	8	3	2	12	1	2	27.3	0.952	0	28	3	6	0
TSV	quarry_picket_dorn	tether	2	8	4	2	9	1	2	25.5	0.977	0	25	2	6	0
TSV	warrens_watch_pell	tether	2	9	4	3	11	1	3	34.1	0.949	0	34	5	5	0
TSV	band2_outrider_kest	tether	2	9	4	2	12	1	2	24.6	0.970	0	25	3	5	0
TSV	night_watch_farro	route	2	10	4	2	13	1	2	21.5	0.971	0	21	3	4	0
TSV	relay_picket_hess	tether	3	10	5	2	8	1	2	20.7	0.984	0	20	2	4	0
TSV	relay_picket_orrin	tether	3	11	5	2	9	1	2	19.1	0.988	0	19	2	3	0
TSV	relay_officer_dell	officer	3	12	5	3	10	1	3	39.8	0.968	0	40	4	8	0
TSV	relay_captain	officer	3	12	5	3	12	1	3	35.7	0.969	0	35	4	7	0
TSV	captain_riverwatch	captain	3	13	5	3	16	1	3	49.1	0.960	0	50	5	11	0
TSV	pasture_drover_juno	route	4	13	5	2	13	1	2	27.5	0.978	0	28	3	6	0
TSV	patrol_ridgeline	tether	4	14	5	2	14	1	2	24.6	0.979	0	25	3	5	0
TSV	lost_creature_rue	route	4	14	5	2	15	1	2	28.6	0.978	0	29	3	7	0
TSV	captain_field	captain	4	15	5	3	15	1	3	38.4	0.955	0	40	7	6	0
TSV	captain_ridge	captain	4	16	5	3	16	1	3	32.6	0.975	0	31	4	6	0
TSV	stronghold_outer_watch	tether	5	16	5	2	15	1	2	24.6	0.983	0	25	3	5	0
TSV	stronghold_patrol	tether	5	17	5	2	16	1	2	28.9	0.980	0	30	3	7	0
TSV	stronghold_checkpoint	tether	5	18	5	3	16	1	3	47.5	0.959	0	50	6	10	0
TSV	stronghold_courtyard	tether	5	18	5	3	17	1	3	54.9	0.976	0	55	4	15	0
TSV	stronghold_elite	officer	5	19	5	3	19	1	3	42.4	0.971	0	43	5	9	0
TSV	warden_aldis	warden	5	20	5	5	20	1	5	72.6	0.931	0	75	11	13	0
